LoanAmount,Loan_Amount_Term,Credit_History,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Loan_Status_Y,Scored Label,Scored Probabilities
160.0,360.0,1.0,True,True,False,False,True,0.7712850201529752
90.0,360.0,1.0,True,False,False,True,True,0.8555092997751919
275.0,360.0,1.0,True,False,False,True,True,0.8085329295366032
81.0,300.0,1.0,False,False,False,True,True,0.7183963773964396
187.0,360.0,1.0,False,False,False,True,True,0.6569396984207982
185.0,360.0,1.0,False,False,False,True,True,0.6577626816238932
125.0,360.0,1.0,True,False,False,True,True,0.8474242634178643
175.0,360.0,1.0,True,False,False,False,True,0.8352353477118182
136.0,360.0,1.0,False,False,False,True,True,0.6776204671477618
141.0,360.0,1.0,False,False,True,True,True,0.6711718757428112
119.0,360.0,0.0,True,False,False,False,False,0.18283028033872503
187.0,360.0,1.0,True,False,False,True,True,0.8321961802543968
480.0,360.0,1.0,False,False,False,False,True,0.528570018680383
242.0,360.0,0.0,False,False,False,False,False,0.06455023402410509
168.0,360.0,1.0,True,False,True,True,True,0.8342082308536544
80.0,360.0,1.0,False,False,False,False,True,0.6995517290300752
162.0,360.0,1.0,False,False,False,True,True,0.6671578806038917
67.0,360.0,1.0,False,False,False,True,True,0.7045196381743745
100.0,360.0,1.0,True,False,False,True,True,0.853236313689999
110.0,360.0,1.0,True,False,False,False,True,0.8509338015030649
111.0,180.0,0.0,False,False,False,False,False,0.1038920254432742
113.0,360.0,1.0,True,True,False,True,True,0.786078177674901
112.0,360.0,1.0,True,False,False,True,True,0.8504697393591375
111.0,180.0,1.0,True,True,False,True,True,0.8298621523111395
70.0,360.0,1.0,False,False,False,True,True,0.703377434846699
260.0,360.0,1.0,True,False,False,False,True,0.8127393637007885
135.0,360.0,1.0,True,True,False,True,True,0.779241875245682
151.0,360.0,1.0,False,False,False,True,True,0.6716052483096981
123.0,360.0,0.0,True,False,False,False,False,0.1817410305495602
60.0,180.0,1.0,False,True,False,True,True,0.6739787024192408
148.0,360.0,1.0,False,True,False,True,True,0.5709963792669199
107.0,360.0,1.0,True,False,False,True,True,0.8516276666438131
188.0,360.0,1.0,True,False,True,True,True,0.82909295668317
296.0,360.0,1.0,False,False,False,True,True,0.6107709542842318
120.0,360.0,1.0,True,True,False,True,True,0.7839198412568189
105.0,84.0,1.0,True,False,False,True,True,0.8984138424692286
218.0,360.0,0.0,True,True,False,False,False,0.10782343664368398
152.0,360.0,1.0,False,False,False,True,True,0.6712021965752838
115.0,360.0,1.0,False,False,False,True,True,0.6859435727826723
105.0,360.0,0.0,True,False,True,False,False,0.18362994186091727
165.0,180.0,0.0,True,True,True,False,False,0.14716327359103706
81.0,180.0,1.0,True,True,False,False,True,0.8374611177117843
187.0,360.0,1.0,False,False,False,True,True,0.6569396984207982
495.0,360.0,0.0,True,False,False,False,False,0.10117811575626333
133.0,180.0,1.0,True,True,False,True,True,0.8241119774010001
136.0,360.0,1.0,True,False,False,True,True,0.8448077583582039
146.0,360.0,0.0,True,False,False,False,False,0.1755757371543734
124.0,360.0,1.0,True,True,False,True,True,0.7826794432764993
60.0,360.0,0.0,True,False,False,False,False,0.1994873520342408
114.0,360.0,1.0,False,False,False,False,True,0.6863369986423518
166.0,360.0,0.0,False,False,False,True,False,0.0734584188864542
125.0,360.0,1.0,False,False,False,True,True,0.6819946720357114
90.0,360.0,1.0,False,False,False,True,True,0.6956980278860712
349.0,360.0,1.0,True,False,False,False,True,0.7867281416677594
200.0,360.0,1.0,True,False,False,True,True,0.8288534235669406
100.0,360.0,1.0,True,True,False,True,True,0.7900447705226843
98.0,360.0,1.0,False,False,False,True,True,0.6925951394723932
75.0,180.0,1.0,True,False,False,True,True,0.8894796054744274
480.0,360.0,1.0,True,False,True,True,True,0.7399595018334726
125.0,360.0,0.0,True,True,False,False,False,0.12528933313384685
116.0,360.0,1.0,True,False,False,True,True,0.849538043521984
267.0,360.0,1.0,True,False,True,True,True,0.8076617005413537
209.0,360.0,0.0,False,False,False,False,False,0.06828759593972976
100.0,360.0,1.0,True,False,False,True,True,0.853236313689999
255.0,360.0,1.0,True,False,False,True,True,0.8141256098303745
70.0,180.0,1.0,True,False,False,False,True,0.8903743880550261
155.0,360.0,1.0,True,False,False,True,True,0.8402022126630397
156.0,360.0,1.0,False,False,False,True,True,0.6695874719828546
56.0,360.0,1.0,False,False,False,True,True,0.7086857700468489
187.0,360.0,0.0,False,False,True,False,False,0.0695684369744138
110.0,360.0,1.0,True,False,True,False,True,0.8483490375122689
134.0,360.0,1.0,True,False,False,True,True,0.845286195689487
175.0,360.0,1.0,True,False,False,True,True,0.8352353477118182
44.0,360.0,1.0,True,False,False,True,True,0.8655903058196334
40.0,360.0,1.0,False,False,False,True,True,0.7146833766895756
175.0,360.0,1.0,True,False,False,True,True,0.8352353477118182
105.0,360.0,0.0,False,False,False,False,False,0.08141322908870846
131.0,360.0,1.0,True,False,False,True,True,0.8460015914739616
258.0,360.0,0.0,True,False,False,False,False,0.1478924506131198
167.0,360.0,1.0,True,False,False,False,True,0.8372368081725724
124.0,360.0,1.0,True,False,False,True,True,0.8476603249040884
118.0,360.0,0.0,False,False,False,False,False,0.07965467137866024
300.0,360.0,1.0,True,False,False,True,True,0.8013626997745079
225.0,360.0,1.0,False,False,False,False,True,0.6411281147777216
132.0,360.0,1.0,False,False,False,True,True,0.6792147418315224
45.0,180.0,0.0,True,True,False,False,False,0.17982046366085835
141.0,360.0,1.0,False,False,False,True,True,0.675621799370038
250.0,360.0,1.0,True,False,False,True,True,0.8155039234475424
312.0,360.0,1.0,True,False,False,True,True,0.7978499525971923
137.0,360.0,1.0,True,False,False,True,True,0.844568087135811
152.0,360.0,0.0,True,True,False,False,False,0.11998273167057616
120.0,360.0,0.0,True,False,False,False,False,0.18255749366661322
130.0,360.0,1.0,True,False,False,True,True,0.8462394547018177
94.0,360.0,1.0,True,False,False,False,True,0.854603636275818
151.0,360.0,1.0,False,False,False,True,True,0.6716052483096981
159.0,360.0,1.0,True,False,False,False,True,0.8392186362311385
187.0,360.0,1.0,True,False,False,True,True,0.8321961802543968
125.0,60.0,1.0,True,True,True,True,True,0.8487984761097255
96.0,360.0,1.0,True,False,False,True,True,0.8541490405972139
71.0,360.0,1.0,False,False,False,True,True,0.7029961334990515
100.0,360.0,1.0,True,False,False,True,True,0.853236313689999
108.0,360.0,1.0,True,False,True,True,True,0.8488185112355615
259.0,360.0,1.0,False,False,False,True,True,0.6267149069900098
137.0,360.0,0.0,False,False,False,True,False,0.07714685179835803
40.0,180.0,1.0,True,False,False,True,True,0.8956106353985455
160.0,360.0,0.0,True,False,False,True,False,0.1719042204205888
320.0,360.0,1.0,False,False,False,False,True,0.6002983708264503
168.0,360.0,1.0,False,False,False,True,True,0.6647193695728396
200.0,360.0,1.0,True,False,False,True,True,0.8288534235669406
122.0,360.0,1.0,False,False,False,True,True,0.6831821266614534
211.0,360.0,1.0,True,False,False,True,True,0.8259838459253935
187.0,360.0,1.0,False,False,False,True,True,0.6569396984207982
136.0,360.0,0.0,False,False,False,False,False,0.0772770187585643
130.0,360.0,0.0,False,False,False,True,False,0.07806225451424727
111.0,360.0,1.0,False,True,False,True,True,0.5874691538996976
129.0,360.0,1.0,True,False,False,True,True,0.8464770172018821
80.0,360.0,0.0,False,False,False,False,False,0.08489480490825987
124.0,300.0,1.0,True,True,False,True,True,0.7981116165879159
182.0,180.0,1.0,True,False,True,True,True,0.8664264639828021
110.0,360.0,1.0,True,True,False,True,True,0.7869983624633028
162.0,360.0,1.0,True,False,True,True,True,0.83571869605263
94.0,360.0,1.0,False,True,False,True,True,0.5949748654750525
134.0,360.0,1.0,True,False,False,False,True,0.845286195689487
114.0,360.0,1.0,True,False,False,True,True,0.850004487187384
130.0,360.0,1.0,False,True,False,True,True,0.5790321859179444
9.0,360.0,1.0,False,False,False,False,True,0.7260899127047439
56.0,180.0,1.0,True,False,False,True,True,0.8928460498944928
194.0,360.0,1.0,True,True,False,True,True,0.7601435775546185
205.0,240.0,1.0,True,False,True,False,True,0.8499900063556665
54.0,360.0,1.0,False,False,False,True,True,0.7094395218332156
137.0,360.0,1.0,True,False,False,True,True,0.844568087135811
108.0,360.0,1.0,True,False,False,True,True,0.8513966750933437
168.0,360.0,1.0,True,False,False,True,True,0.8369877008512763
87.0,360.0,1.0,True,True,True,False,True,0.7906274566206667
160.0,180.0,0.0,True,False,True,False,False,0.2120064142275266
279.0,180.0,1.0,True,True,False,True,True,0.782063406993383
151.0,480.0,1.0,False,False,False,False,True,0.6292701133978338
570.0,360.0,1.0,True,False,False,False,True,0.7112721282003215
100.0,360.0,1.0,False,False,False,True,True,0.6918166731036737
292.0,360.0,1.0,False,False,True,True,True,0.6076937723678102
149.0,360.0,0.0,True,False,False,False,False,0.17478382252645386
173.0,360.0,1.0,True,False,False,True,True,0.8357375575799735
70.0,180.0,0.0,True,True,False,False,False,0.17318267782566787
210.0,360.0,1.0,False,False,False,True,True,0.6474085037850423
185.0,180.0,1.0,True,False,False,True,True,0.8681245935752844
187.0,360.0,1.0,True,False,False,True,True,0.8321961802543968
50.0,240.0,1.0,True,False,False,True,True,0.884721833590489
143.0,480.0,0.0,False,False,False,False,False,0.06421864804048866
160.0,360.0,1.0,True,False,False,False,True,0.8389719786993096
154.0,360.0,1.0,False,True,False,True,True,0.5683092177611544
120.0,360.0,1.0,True,False,False,True,True,0.8486015758891854
